sample	unit	fq1	fq2	readlen	desiree_layers	desiree_layers_geno	rp_layer_geno	rp_layers
MF_83	CSFP200003976_L1	MF83_B1_CSFP200003976-1a_H5ML2DSXY_L1_1.fq.gz	MF83_B1_CSFP200003976-1a_H5ML2DSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_83	CSFP200003976_L2	MF83_B1_CSFP200003976-1a_H552FDSXY_L2_1.fq.gz	MF83_B1_CSFP200003976-1a_H552FDSXY_L2_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_83	MFRAG_00023H	MFRAG_00023H-1.fq.gz	MFRAG_00023H-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_83	MFRAG_00023H_b	MFRAG_00023H_b-1.fq.gz	MFRAG_00023H_b-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_84	CSFP200003977_L1	MF84_B1_CSFP200003977-1a_H5ML2DSXY_L1_1.fq.gz	MF84_B1_CSFP200003977-1a_H5ML2DSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_84	CSFP200003977_L2	MF84_B1_CSFP200003977-1a_H552FDSXY_L2_1.fq.gz	MF84_B1_CSFP200003977-1a_H552FDSXY_L2_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_84	MFRAG_00003H	MFRAG_00003H-1.fq.gz	MFRAG_00003H-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_84	MFRAG_00003H_b	MFRAG_00003H_b-1.fq.gz	MFRAG_00003H_b-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_86	CSFP210001500_HY5JKDSXY_L1	MF_86_C_CSFP210001500-1a_HY5JKDSXY_L1_1.fq.gz	MF_86_C_CSFP210001500-1a_HY5JKDSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_86	CSFP210001500_HY5KHDSXY_L1	MF_86_C_CSFP210001500-1a_HY5KHDSXY_L1_1.fq.gz	MF_86_C_CSFP210001500-1a_HY5KHDSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_86_1	MFRAG_00021H	MFRAG_00021H-1.fq.gz	MFRAG_00021H-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_86_1	MFRAG_00021H_b	MFRAG_00021H_b-1.fq.gz	MFRAG_00021H_b-2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_86_B2	CSFP200003978	MF86_B2_CSFP200003978-1a_H5NVTDSXY_L1_1.fq.gz	MF86_B2_CSFP200003978-1a_H5NVTDSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
MF_93	CSFP210001501_HY5JKDSXY_L1	MF_93_C_CSFP210001501-1a_HY5JKDSXY_L1_1.fq.gz	MF_93_C_CSFP210001501-1a_HY5JKDSXY_L1_2.fq.gz	short	FALSE	FALSE	TRUE	TRUE
