sample	unit	fq1	fq2	readlen
PI310467	CSFP210001502_HY5KHDSXY_L1_1	U_DES_C_CSFP210001502-1a_HY5KHDSXY_L1_1.fq.gz	U_DES_C_CSFP210001502-1a_HY5KHDSXY_L1_2.fq.gz	short
PI310467	FRAG_01473	FRAG01473_S39_L003_1.fastq.gz	FRAG01473_S39_L003_2.fastq.gz	short
PI310467	KFRAG_00469	KFRAG_00469_1.fastq.gz	KFRAG_00469_2.fastq.gz	short
PI310467	m64069_211118_031642	m64069_211118_031642.hifi_reads.fastq.gz	NaN	long
PI310467	m64069_211125_193709	m64069_211125_193709.hifi_reads.fastq.gz	NaN	long
PI310467	m84066_230512_192902	m84066_230512_192902_s4.hifi_reads.default.bam	NaN	long
PI310467_root	KFRAG_01585_AVT0019_lane1	RP_root-1.fq.gz	RP_root-2.fq.gz	short
PSK_1	SRR8325678	SRR8325678_1.fastq.gz	SRR8325678_2.fastq.gz	short
PSK_10	SRR8325671	SRR8325671_1.fastq.gz	SRR8325671_2.fastq.gz	short
PSK_11	SRR8325706	SRR8325706_1.fastq.gz	SRR8325706_2.fastq.gz	short
PSK_12	SRR8325707	SRR8325707_1.fastq.gz	SRR8325707_2.fastq.gz	short
PSK_16	SRR8325704	SRR8325704_1.fastq.gz	SRR8325704_2.fastq.gz	short
PSK_17	SRR8325705	SRR8325705_1.fastq.gz	SRR8325705_2.fastq.gz	short
PSK_18	SRR8325702	SRR8325702_1.fastq.gz	SRR8325702_2.fastq.gz	short
PSK_19	SRR8325703	SRR8325703_1.fastq.gz	SRR8325703_2.fastq.gz	short
PSK_2	SRR8325679	SRR8325679_1.fastq.gz	SRR8325679_2.fastq.gz	short
PSK_20	SRR8325700	SRR8325700_1.fastq.gz	SRR8325700_2.fastq.gz	short
PSK_21	SRR8325701	SRR8325701_1.fastq.gz	SRR8325701_2.fastq.gz	short
PSK_22	SRR8325714	SRR8325714_1.fastq.gz	SRR8325714_2.fastq.gz	short
PSK_23	SRR8325715	SRR8325715_1.fastq.gz	SRR8325715_2.fastq.gz	short
PSK_24	SRR8325668	SRR8325668_1.fastq.gz	SRR8325668_2.fastq.gz	short
PSK_25	SRR8325667	SRR8325667_1.fastq.gz	SRR8325667_2.fastq.gz	short
PSK_26	SRR8325666	SRR8325666_1.fastq.gz	SRR8325666_2.fastq.gz	short
PSK_27	SRR8325665	SRR8325665_1.fastq.gz	SRR8325665_2.fastq.gz	short
PSK_28	SRR8325664	SRR8325664_1.fastq.gz	SRR8325664_2.fastq.gz	short
PSK_29	SRR8325663	SRR8325663_1.fastq.gz	SRR8325663_2.fastq.gz	short
PSK_3	SRR8325676	SRR8325676_1.fastq.gz	SRR8325676_2.fastq.gz	short
PSK_30	SRR8325662	SRR8325662_1.fastq.gz	SRR8325662_2.fastq.gz	short
PSK_31	SRR8325661	SRR8325661_1.fastq.gz	SRR8325661_2.fastq.gz	short
PSK_32	SRR8325660	SRR8325660_1.fastq.gz	SRR8325660_2.fastq.gz	short
PSK_33	SRR8325659	SRR8325659_1.fastq.gz	SRR8325659_2.fastq.gz	short
PSK_34	SRR8325708	SRR8325708_1.fastq.gz	SRR8325708_2.fastq.gz	short
PSK_35	SRR8325709	SRR8325709_1.fastq.gz	SRR8325709_2.fastq.gz	short
PSK_36	SRR8325710	SRR8325710_1.fastq.gz	SRR8325710_2.fastq.gz	short
PSK_37	SRR8325711	SRR8325711_1.fastq.gz	SRR8325711_2.fastq.gz	short
PSK_4	SRR8325677	SRR8325677_1.fastq.gz	SRR8325677_2.fastq.gz	short
PSK_5	SRR8325674	SRR8325674_1.fastq.gz	SRR8325674_2.fastq.gz	short
PSK_6	SRR8325675	SRR8325675_1.fastq.gz	SRR8325675_2.fastq.gz	short
PSK_7	SRR8325672	SRR8325672_1.fastq.gz	SRR8325672_2.fastq.gz	short
PSK_8	SRR8325673	SRR8325673_1.fastq.gz	SRR8325673_2.fastq.gz	short
PSK_9	SRR8325691	SRR8325691_1.fastq.gz	SRR8325691_2.fastq.gz	short
RP_TRICOLI	KFRAG_01519_A00953:535:HTK2MDSX3:4	TRICOLI_DES_A00953:535:HTK2MDSX3:4-1.fq.gz	TRICOLI_DES_A00953:535:HTK2MDSX3:4-2.fq.gz	short
RP_TRICOLI	KFRAG_01519_A00953:538:HTHK7DSX3:4	TRICOLI_DES_A00953:538:HTHK7DSX3:4-1.fq.gz	TRICOLI_DES_A00953:538:HTHK7DSX3:4-2.fq.gz	short
RP_TRICOLI	KFRAG_01519_A01535:134:H2FMGDSX5:3	TRICOLI_DES_A01535:134:H2FMGDSX5:3-1.fq.gz	TRICOLI_DES_A01535:134:H2FMGDSX5:3-2.fq.gz	short
URGENTA	KFRAG_01520_A00953:535:HTK2MDSX3:4	URGENTA_A00953:535:HTK2MDSX3:4-1.fq.gz	URGENTA_A00953:535:HTK2MDSX3:4-2.fq.gz	short
URGENTA	KFRAG_01520_A00953:538:HTHK7DSX3:4	URGENTA_A00953:538:HTHK7DSX3:4-1.fq.gz	URGENTA_A00953:538:HTHK7DSX3:4-2.fq.gz	short
URGENTA	KFRAG_01520_A01535:134:H2FMGDSX5:3	URGENTA_A01535:134:H2FMGDSX5:3-1.fq.gz	URGENTA_A01535:134:H2FMGDSX5:3-2.fq.gz	short
URGENTA	KFRAG_01586_AVT0038_lane1	KFRAG_01586-1.fq.gz	KFRAG_01586-2.fq.gz	short
URGENTA	KFRAG_01586_AVT0038_lane2	KFRAG_01586_run1-1.fq.gz	KFRAG_01586_run1-2.fq.gz	short
URGENTA	KFRAG_01586_AVT0038_lane3	KFRAG_01586_run2-1.fq.gz	KFRAG_01586_run2-2.fq.gz	short
