sample	unit	fq1	fq2	readlen
BB_218	BORD_00186	BORD_00186.fq.gz	NaN	short
BB_219	BORD_00187	BORD_00187.fq.gz	NaN	short
BB_22	BORD_00022	BORD_00022.fq.gz	NaN	short
BB_220	BORD_00188	BORD_00188.fq.gz	NaN	short
BB_221	BORD_00189	BORD_00189.fq.gz	NaN	short
BB_222	BORD_00190	BORD_00190.fq.gz	NaN	short
BB_224	BORD_00191	BORD_00191.fq.gz	NaN	short
BB_225	BORD_00192	BORD_00192.fq.gz	NaN	short
BB_227	BORD_00193	BORD_00193.fq.gz	NaN	short
BB_228	BORD_00194	BORD_00194.fq.gz	NaN	short
BB_23	BORD_00023	BORD_00023.fq.gz	NaN	short
BB_230	BORD_00195	BORD_00195.fq.gz	NaN	short
BB_231	BORD_00196	BORD_00196.fq.gz	NaN	short
BB_232	BORD_00197	BORD_00197.fq.gz	NaN	short
BB_233	BORD_00198	BORD_00198.fq.gz	NaN	short
BB_234	BORD_00199	BORD_00199.fq.gz	NaN	short
BB_235	BORD_00200	BORD_00200.fq.gz	NaN	short
BB_236	BORD_00201	BORD_00201.fq.gz	NaN	short
BB_237	BORD_00202	BORD_00202.fq.gz	NaN	short
BB_238	BORD_00203	BORD_00203.fq.gz	NaN	short
BB_239	BORD_00204	BORD_00204.fq.gz	NaN	short
BB_24	BORD_00024	BORD_00024.fq.gz	NaN	short
BB_240	BORD_00205	BORD_00205.fq.gz	NaN	short
BB_242	BORD_00206	BORD_00206.fq.gz	NaN	short
BB_243	BORD_00207	BORD_00207.fq.gz	NaN	short
BB_244	BORD_00208	BORD_00208.fq.gz	NaN	short
BB_245	BORD_00209	BORD_00209.fq.gz	NaN	short
BB_246	BORD_00210	BORD_00210.fq.gz	NaN	short
BB_247	BORD_00211	BORD_00211.fq.gz	NaN	short
BB_248	BORD_00212	BORD_00212.fq.gz	NaN	short
BB_249	BORD_00213	BORD_00213.fq.gz	NaN	short
BB_25	BORD_00025	BORD_00025.fq.gz	NaN	short
BB_250	BORD_00214	BORD_00214.fq.gz	NaN	short
BB_251	BORD_00215	BORD_00215.fq.gz	NaN	short
BB_252	BORD_00216	BORD_00216.fq.gz	NaN	short
BB_253	BORD_00217	BORD_00217.fq.gz	NaN	short
BB_254	BORD_00218	BORD_00218.fq.gz	NaN	short
BB_255	BORD_00219	BORD_00219.fq.gz	NaN	short
BB_256	BORD_00220	BORD_00220.fq.gz	NaN	short
BB_257	BORD_00221	BORD_00221.fq.gz	NaN	short
BB_258	BORD_00222	BORD_00222.fq.gz	NaN	short
BB_26	BORD_00026	BORD_00026.fq.gz	NaN	short
BB_260	BORD_00223	BORD_00223.fq.gz	NaN	short
BB_261	BORD_00224	BORD_00224.fq.gz	NaN	short
BB_262	BORD_00225	BORD_00225.fq.gz	NaN	short
BB_263	BORD_00226	BORD_00226.fq.gz	NaN	short
